continent,location,population,infected_count,death_count,population_infection_rate,fatality_rate,population_death_rate
Africa,Lesotho,2142252,10731,316,0.500921460220366,2.94473953965148,0.0147508323017087
Africa,Liberia,5057677,2099,85,0.041501266292806,4.04954740352549,0.00168061345159052
Africa,Libya,6871287,177508,3029,2.58332973138802,1.70640196498186,0.0440819892983658
Africa,Madagascar,27691019,37014,643,0.13366788705031,1.73718052628735,0.00232205250373776
Africa,Malawi,19129955,34078,1148,0.178139467656876,3.36874229708316,0.00600105959475597
Africa,Mali,20250834,13858,484,0.0684317495269578,3.4925674700534,0.00239002502316695
Africa,Mauritania,4649660,18402,455,0.39577087356925,2.47255733072492,0.00978566174731056
Africa,Mauritius,1271767,1209,17,0.0950645833710106,1.40612076095947,0.0013367228430994
Africa,Morocco,36910558,511249,9023,1.38510233305061,1.76489342766441,0.0244455800424366
Africa,Mozambique,31255435,69917,814,0.223695494879531,1.16423759600669,0.00260434705196072
Africa,Namibia,2540916,48351,642,1.90289643577356,1.32779053173668,0.0252664787029559
Africa,Niger,24206636,5228,191,0.0215973834612955,3.65340474368783,0.000789039831887421
Africa,Nigeria,206139587,165110,2063,0.0800962116995024,1.24947005026952,0.00100077817658575
Africa,Rwanda,12952209,25116,335,0.193912868453559,1.33381111641981,0.00258643139560209
Africa,Saint Helena,6071,NULL,NULL,NULL,NULL,NULL
Africa,Sao Tome and Principe,219161,2302,35,1.05036936316224,1.52041702867072,0.0159699946614589
Africa,Senegal,16743930,40344,1107,0.240947017814814,2.74390243902439,0.00661135109857722
Africa,Seychelles,98340,5873,28,5.9721374822046,0.476758045292014,0.0284726459223104
Africa,Sierra Leone,7976985,4054,79,0.0508212062577528,1.94869264923532,0.00099034911059755
Africa,Somalia,15893219,13915,713,0.0875530627244235,5.12396694214876,0.00448618999083823
Africa,South Africa,59308690,1581210,54350,2.66606799104819,3.43724110017012,0.0916391847467884
Africa,South Sudan,11193729,10583,115,0.0945440076314158,1.08664839837475,0.00102736094468608
Africa,Sudan,43849269,33944,2349,0.0774106405285798,6.92022154136224,0.00535698782116527
Africa,Tanzania,59734213,509,21,0.000852107987092757,4.12573673870334,3.51557322769114E-05
Africa,Togo,8278737,12967,123,0.156630171969468,0.948561733631526,0.00148573387462363
Africa,Tunisia,11818618,309119,10722,2.61552577467179,3.46856712139985,0.0907212670720045
Africa,Uganda,45741000,41866,342,0.0915283880982051,0.816891988725935,0.00074768806978422
Africa,Zambia,18383956,91586,1251,0.498184395132364,1.36592929050292,0.00680484657382774
Africa,Zimbabwe,14862927,38257,1567,0.257398828642568,4.09598243458713,0.0105430108080326
Asia,Afghanistan,38928341,59745,2625,0.153474302950645,4.39367311072056,0.00674315918060829
Asia,Armenia,2963234,216064,4108,7.29149301067685,1.901288507109,0.138632318608655
Asia,Azerbaijan,10139175,319109,4517,3.14728762448621,1.41550379337468,0.0445499757130141
Asia,Bahrain,1701583,176934,646,10.3981997939566,0.365107893338759,0.03796464821287
Asia,Bangladesh,164689383,759132,11450,0.460947746704473,1.50830158654885,0.00695248217670474
Asia,Bhutan,771612,1074,1,0.139189126141118,0.0931098696461825,0.000129598813911655
Asia,Brunei,437483,224,3,0.051201989563023,1.33928571428571,0.00068574093164763
Asia,Cambodia,16718971,13402,93,0.0801604357110255,0.693926279659752,0.000556254329288567
Asia,China,1439323774,102494,4845,0.00712098291235478,4.72710597693523,0.00033661640886646
Asia,Georgia,3989175,310310,4110,7.77880138123798,1.32448196964326,0.103028821748858
Asia,Hong Kong,7496988,NULL,NULL,NULL,NULL,NULL
Asia,India,1380004385,19164969,211853,1.38876145672537,1.10541791118994,0.0153516178863446
Asia,Indonesia,273523621,1668368,45521,0.609953902299356,2.72847477295177,0.0166424383508728
Asia,Iran,83992953,2499077,71758,2.97534127654733,2.87138011353792,0.0854333577246653
Asia,Iraq,40222503,1065199,15465,2.64826631997516,1.4518413930167,0.0384486266307196
Asia,Israel,8655541,838481,6363,9.68721654718059,0.758872294065101,0.0735136024426434
Asia,Japan,126476458,593264,10199,0.469070694563569,1.71913347177648,0.00806395131653671
Asia,Jordan,10203140,711373,8836,6.97209878527591,1.24210505599735,0.0866007915210416
Asia,Kazakhstan,18776707,375539,3334,2.00002588313276,0.887790615621813,0.0177560421004599
Asia,Kuwait,4270563,273991,1563,6.41580512920662,0.570456693833009,0.0365993898228407
Asia,Kyrgyzstan,6524191,95275,1604,1.46033431577953,1.6835476252952,0.0245854236946772
Asia,Laos,7275556,757,NULL,0.0104047030907329,NULL,NULL
Asia,Lebanon,6825442,526578,7278,7.71492893793545,1.3821314221255,0.106630457045859
Asia,Macao,649342,NULL,NULL,NULL,NULL,NULL
Asia,Malaysia,32365998,408713,1506,1.26278509935025,0.368473721168644,0.00465303124593903
Asia,Maldives,540542,29835,73,5.51946009745774,0.24467906820848,0.0135049635365984
Asia,Mongolia,3278292,37285,115,1.13733004869609,0.308435027490948,0.0035079242483586
Asia,Myanmar,54409794,142817,3209,0.262483993231072,2.24693138771995,0.00589783523164965
Asia,Nepal,29136808,323187,3279,1.10920523620844,1.0145828885444,0.0112538065254094
